name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
janette.elbertson	 	 	 	11	11	11	11	11	11	11	11	17	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	30	30	30	29	29	29	29	29	29	29	 	 	 	 	 	28	28	28	27	27	27	27	27	40	40	 	 	 	-26	-26	-26	-26	-26	33	33	42	44	44	44	44	44	44	44	44	44	44	44	44	44	44	 	 	 	 	 	 	39	39	37	37	37	37	37	37	-17	30	 	 	 	26	26	26
richard.shapiro	 	 	 	 	 	 	20	20	20	20	20	-27	-27	-27	-27	-27	-28	 	 	 	 	26	26	26	26	26	31	31	29	29	29	18	18	18	18	18	18	18	18	18	18	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	 	 	 	 	 	 	 	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
steven.kean	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	 	 	 	 	 	-15	-15	-15	-27	-27	-27	-27	-27	-27	-27	-28	-28	16	16	16	16	16	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
karen.denne	 	38	38	38	38	38	38	38	38	38	38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
mark.taylor	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	15	15	15	15	15	15	15	15	15	15	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	35	35	35	35	35	35	35	35	35	35	35	35	35	34	34	34	34	34	34	34	34	34	34	34	34	34	34
phillip.love	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	 	 	 	 	 	 	 	 	 	 	4	4	4	4	4	4	4	4	4	4	 	 	 	 	 	 	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	 	 	 	 	 
gerald.nemec	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-41	-41	-41	-41	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	42	42	42	42	-39	-39	-39	-39	-39	-39	-39	-39	-39	-39	 	 	 	 	 	 	 	 
sherri.sera	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	 	 	 	 	 	 	 	 	 	 	 	-26	-26	-26	-26	-26	-26	-26	-26	-27	-27	-27	-25	-27	-27	-27	-27
chris.dorland	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	43	43	43	43	43	43	43	43	43	46	46	46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
michelle.cash	 	 	 	 	 	 	 	 	 	 	13	18	16	24	24	24	23	23	23	23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-48	-48	24	24	24	24	24	24	24	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	48	48	48	48	48	47	47	47	46	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
randall.gay	 	-37	-37	-37	-37	-37	-41	-41	-41	-41	-41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-4	-4	-5	-5	-5	-5	-5	-5	-5	-5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-46	-46	-46	-46	-46	-46	-46	-46	-46	-46	-46	-46	-46	-46	-46	-46	-46
louise.kitchen	5	5	5	-31	-31	-31	-31	16	16	16	16	-31	-31	2	-26	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	14	41	41	41	41	43	40	40	40	40	40	40	40	46	46	46	46	46	46	46	46	46	46	46	46	37	37	37	37	37	37	37	 	 	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	 	 	 	 	 	 	 	 
debra.perlingiere	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	27	27	27
ami.chokshi	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
tracy.geaccone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-25	-25	-26	-27	-27	-27	-27	-27	-27	-27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
marie.heard	 	 	 	12	12	12	12	12	12	12	12	11	11	11	11	11	 	 	 	 	13	13	13	12	12	12	12	12	12	12	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	10	10	10	10	10	10	10	10	10	34	34	34	34	34	34	34	34	34	34	34	34	-16	30	30	30	30	30	30	30	30	30	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
carol.clair	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	-26	-26	-26	-26	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	34	34	34	34	34	34	34	34	34	34	34	34	34	 	 	 	38	38	38	36	36	36	36	36	36	36	36
ginger.dernehl	 	 	 	 	 	 	 	 	 	39	39	38	38	38	38	38	38	38	38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-47	-47	-47	-47	-47	-47	-47	-47	-47	-47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
rick.buy	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-27	-27	-27	-27	-27	-27	-27	-27	-27	-28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-25	-25	-25	-25	-25	-27	-27	-27	-27	-27	 	 	 	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
stanley.horton	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	34	34	-24	-24	-25	-25	-25	-25	-25	-25	 	 	 	 	 	 	 	 	 	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-54	-54	-54	-54	-54	-54	-54	-54	-54	-38	-38	-38
jeffrey.shankman	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	33	33	33	33	33	33	33	33	33	33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
elizabeth.sager	 	 	-41	4	4	4	4	4	4	4	4	15	13	22	22	22	22	 	 	 	14	22	22	23	23	23	23	23	23	23	23	16	 	 	 	12	12	12	12	12	12	12	12	12	12	12	 	 	 	-48	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	28	28	28	28	28	28	28	28	28	 	 	 	 	 	 	 
mjones7@txu.com	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-5	-5	-5	-7	-7	-7	-7	-7	-7	-7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
james.derrick	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	30	30	27	27	27	27	27	27	27	27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
liz.taylor	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-25	-25	-25	-25	-25	-25	-27	-27	-27	-27	-27	-27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	 	 	 	 	 	 	 	-16	-17	-17	-17	-17	-17	-17	-17
dutch.quigley	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-16	-16	-16
lynn.blair	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-41	-41	-41	-41	-41	-41	-41	-41	-42	-42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
daren.farmer	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8
richard.sanders	 	 	-42	3	3	3	3	3	3	3	3	14	12	21	21	21	21	22	22	22	23	23	23	24	24	24	24	24	24	24	24	25	25	25	25	25	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	39	39	39	39	39	39	39	39	39	39	45	45	45	45	45	45	45	45	45	45	45	45	45	48	48	45	45	39	39	38	38	38	38	38	38	 	 	 	 	 	 	 	 	 	 	 	 	 	 
jeff.dasovich	 	 	 	 	 	 	 	31	31	31	31	31	31	31	31	31	31	 	 	 	 	 	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-48	-48	-48	-48	-48	-48	-48	-48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-48	-48	-48	-48	-48	-48	-48	-48	-48	-48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33
christi.nicolay	 	 	 	 	 	 	 	 	 	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	 	 	 	27	27	27	27	25	25	25	25	25	17	17	17	17	17	17	17	17	17	17	 	 	 	 	 	 	 	 	-47	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	23	23	23	23	22	22	22	22	22	 
matthew.lenhart	 	 	 	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-5	-5	-5	-5	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-3	-3	-3	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	 	 	 	-41	-41
scott.neal	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	 	 	 	 	 	 	 	 	 	 	 	44	44	44	44	44	44	44	43	43	43	 	 	 	 	 
leslie.hansen	 	 	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	27	27	27	27	27	27	27	27	27	27	27	30	26	26	31	31	31
kevin.ruscitti	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	 	 	 	 	 	 	 	 	 	 	 	 	43	43	43	43	43	43	43	43	43	43	 	 	 	 	 	 	 	 
rod.hayslett	 	 	 	 	 	 	 	 	 	 	33	33	33	33	33	33	33	33	-25	-25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-53	-53	-53	-53	-53	-53	-53	-53	-53	-37	-37	-37
victor.lamadrid	 	 	 	 	 	 	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	 	 	 	 	 	 	 	 	 	 	 	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	44	44	44	43	43	43	43	43
ben.jacoby	 	 	 	 	 	 	 	 	 	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	 	 	 	 	 	 	 	26	26	26	26	26	26	26	26	26	26	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
mary.hain	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	25	25	25	25	25	25	25	25	25	25	30	30	28	28	28	28	28	28	28	28	28	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
eric.bass	 	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-4	-4	-4	 	 	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	 	 	 	 	 	 	 	 	 	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	 	 	 	-42	-42
sheila.glover	 	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	 	 	 	 	 	 	 	 	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	29	29	29	29	29	29	29	29	29	31	31	31	31	31	31	31	31	31	31	31	31	 	 	 	38	38
veronica.espinoza	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	37	37	37
sara.shackleton	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	8	8	8	8	8	8	8	8	8	8	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	-15	31	31	31	31	31	31	31	31	31	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
tori.kuykendall	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	31	31	31	31	31	31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
kimberly.watson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-26	-27	-28	-28	-28	-28	-28	-28	-28	-28	-28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-24	-24	-24	-24	-24	-24	-26	-26	-26	-26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
phillip.allen	 	-36	-36	-36	-36	-36	-40	-40	-40	-40	-40	5	0	5	5	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-49	-49	-49	-49	-49	-49	-49	-49
david.forster	 	 	 	 	 	-43	-43	-43	-43	-43	-43	3	-2	3	3	5	5	5	5	5	5	5	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	13	13	16	16	16	16	16	16	16	16	16	16	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	36	36	36	36	36	36	36	36	36	36	36	36	36	35	35	35	35	35	35	35	35	35	35	35	35	35	35
james.steffes	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-46	-46	-46	-46	-46	-46	-46	-46	-46	-46	 	 	 	-27	-28	-28	-28	-28	-28	-28	-28	-28	-28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	22	22	22	22	22	21	21	21	21	21	21
hunter.shively	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-19	-19	-19	-19	-19	-19	-19	-19	-19
